Chocolate Bar
SUGAR, HIGH FRUCTOSE CORN SYRUP, CORN SYRUP, CORN STARCH, FOOD STARCH MODIFIED (CORN), WHEAT STARCH, MODIFIED POTATO STARCH; CONTAINS LESS THAN 2% OF: CITRIC ACID, MALIC ACID, ARTIFICIAL FLAVORS, ARTIFICIAL COLOR, SALT, PARTIALLY HYDROGENATED SOYBEAN OIL, PALM OIL, HYDROGENATED SOYBEAN OIL, POTASSIUM CITRATE, BLUE 1, RED 40, YELLOW 5, YELLOW 6
Rainbow Berry Chewy Candy
SUGAR, GLUCOSE SYRUP, HIGH FRUCTOSE CORN SYRUP, CORN STARCH, MALIC ACID, FOOD STARCH - MODIFIED (POTATO); CONTAINS LESS THAN 2 PERCENT OF: CITRIC ACID, DEXTROSE, LACTIC ACID, GELATIN, SODIUM MALATES, YELLOW 6, YELLOW 5, BLUE 1, RED 40, ARTIFICIAL FLAVOR, HYDROGENATED PALM OIL, ARTIFICIAL COLOR, SORBITOL SYRUP, GLYCEROL, FUMARIC ACID, SALT
GUMMI BEARS
Corn Syrup (From Corn), Sugar (From Beets), Water, Gelatin, Citric Acid, Natural and Artificial Flavors, Pectin (Derived from Fruit), Vegetable Oil (Coconut, Canola) and Carnauba Leaf Wax (To Prevent Sticking), FD&C Yellow #5, FD&C Red #40, FD&C Yellow #6, FD&C Blue #1* Yellow #5 - E102, Red #40 - E129, Yellow #6 - E110, & Blue #1 - E133**Coconut Oil is highly refined and is not considered an allergen.
GUMMI WORMS
Corn Syrup(From Corn), Sugar (From Beets), Water, Gelatin, Citric Acid, Natural ad Artificial Flavors, Pectin (Derived from Fruits), Vegetable Oil (Coconut, Canola) and Carnauba Leaf Wax (To Prevent Sticking), FD&C Yellow #5, FD&C Red #40, FD&C Yellow #6, FD&C Blue #1.
MINI GUMMI BUTTERFLIES
Corn Syrup (From Corn), Sugar (From Beets), Water, Gelatin, Citric Acid, Natural and Artificial Flavors, Pectin (Derived from Fruit),, Vegetable Oil (Coconut, Canola) and Carnauba Leaf Wax (To Prevent Sticking), FD&C Red #40, FD&C Yellow #6, FD&C Blue #1, FD&C Yellow #5.
Paqui Nacho Cheese Especial
Ground Corn, Canola Oil, Organic Cheddar Cheese (Milk, Cultures, Salt, Enzymes), Organic Tapioca Solids, Salt, Onion Powder, Tomato Powder, Garlic Powder, Paprika, Yeast Extract, Sugar, Natural Flavor, Organic Buttermilk, Spices, Citric Acid, Paprika Extract, Lactic Acid, Organic Skim Milk, Trace of Lime.
Paqui Very Verde Good
Ground corn, canola oil, salt, whey, spices, sour cream (cultured cream, nonfat milk), onion and garlic powders, maltodextrin, green bell pepper, sugar, tomato powder, natural flavor, citric acid, yeast extract, white distilled vinegar, lactic acid, lime juice. Contains milk ingredients.
Paqui Haunted Ghost Pepper
Ground Corn, Expeller-Pressed Canola Oil, Salt, Ghost Pepper, Potato Starch, Cayenne Pepper, Chipotle Pepper Powder, Cane Sugar, Natural Flavor, Yeast Extract, Onion Powder, Citric Acid (For Flavor), Garlic Powder, Chili Powder
Skinny Pop Lightly Salted
Popcorn, sunflower oil and salt.
Skinny Pop White Cheddar
Popcorn, sunflower oil, natural non-dairy cheddar flavor, salt, rice flour, natural flavor and lactic acid.
Skinny Pop Jalapeno
Popcorn, Sunflower Oil, Rice Flour, Sea Salt, Natural Flavors, Spices, Jalapeño Pepper Powder and Citric Acid 
BARS Chocolate Chunk Nut
*Pure Ancient Grains Blend (*Quinoa, *Crispy Brown Rice, *Amaranth, *Flax Seed, *Hemp Seed), *Tapioca Syrup, *Almonds, *Walnuts, *Chocolate (*Cocoa Liquor, *Cane Sugar, *Cocoa Butter, *Cocoa Powder), *Peanuts, *Brown Rice Protein, *Agave Nectar, *Evaporated Cane Syrup, *Cashew Butter, *Cocoa Nibs, *Cocoa Powder, *Vanilla, Sea Salt, Baking Soda, Natural Flavor. *Certified Organic Ingredients
BARS Triple Berry Nut
*Pure Ancient Grains Blend (*Quinoa, *Crispy Brown Rice, *Amaranth, *Flax Seed, *Hemp Seed), *Tapioca Syrup, *Almonds, *Walnuts, *Peanuts, *Brown Rice Protein, *Agave Nectar, *Evaporated Cane Syrup, *Cashew Butter, *Blueberries, *Apples, *Cranberries, *Sunflower Oil, Sea Salt, *Raspberries, *Natural Flavors, *Lemon Juice Concentrate. *Certified Organic Ingredients
Caramel Chocolate Bites
Milk chocolate (Sugar, cocoa butter, chocolate liquor, whole milk powder, soy lecithin (added as an emulsifier), natural vanilla extract), caramel filling (tapioca syrup, sweetened condensed milk, sugar, coconut oil, water, brown sugar, sorbitol, caramel color, salt, sunflower lecithin (added as an emulsifier), natural flavors, potassium sorbate), caffeine, soybean oil.
Dark Chocolate Bar
Dark chocolate (unsweetened chocolate, sugar, cocoa butter, soy lecithin (added as an emulsifier), natural vanilla extract), caffeine, soybean oil.
Dark Chocolate Hazelnut
SUGAR, HAZELNUTS, CHOCOLATE (PROCESSED WITH ALKALI), COCOA BUTTER, MILK, MILK FAT, SUNFLOWER LECITHIN, NATURAL VANILLA FLAVOR.
Dark Chocolate
Semi-sweet Chocolate (Sugar, Chocolate Processed With Alkali, Cocoa Butter, Milkfat, Soy Lecithin, Vanillin - An Artificial Flavor, Natural Flavor).
Back To Nature Mini Chocolate Chunk Flavor Cookies
UNBLEACHED WHEAT FLOUR, SEMISWEET CHOCOLATE (SUGAR, UNSWEETENED CHOCOLATE, COCOA BUTTER, DEXTROSE, SOY LECITHIN, VANILLA EXTRACT), DRIED CANE SYRUP, SAFFLOWER OIL, BROWN RICE SYRUP, BAKING SODA, SEA SALT.
Chicken Nuggets Made with Drum & Thigh Meat
CHICKEN NUGGET PATTIES (Ground Drum and Thigh Chicken Meat, Water, Soy Flour, Isolated Soy Protein with Less Than 2% Lecithin, Seasoning Blend [Salt, Natural Flavor, Autolyzed Yeast Extract, Sodium Tripolyphosphate, Dextrose]), BREADER (Bleached Wheat Flour, Salt, Dextrose, Spice, Soybean Oil, Yeast, Extractives of Paprika), BATTER (Water, Yellow Corn Flour, Corn Starch, Dextrose, Salt, Spices, Sugar, Autolyzed Yeast Extract, Modified Corn Starch, Garlic Powder, Guar Gum, Leavening [Sodium Acid Pyrophosphate, Sodium Bicarbonate, Monocalcium Phosphate]). Fried in Vegetable Oil. CONTAINS: SOY, WHEAT.
Toasted Coconut - Bare Fruit Coconut Chips - Toasted 100% Natural
coconuts, cane sugar, sea salt
BARE FUIT APPLE CHIP FUJI RED
Apples
Simply Banana 1.41oz
Bananas
Dark Chocolate Almond with sea salt
DARK CHOCOLATE [CHOCOLATE]; SUGAR‡; COCOA BUTTER‡; LECITHIN (SOY); VANILLA; MILK]; ALMONDS; SEA SALT null; Fair Trade Certified by Fair Trade USA Over 65% Fair Trade Ingredients
Dark Chocolate PRETZEL
Dark Chocolate [Fair Trade Certified™ Chocolate Liquor, Fair Trade Certified™ Sugar, Fair Trade Certified™ Cocoa Butter, Soy Lecithin (an emulsifier), Vanilla], Pretzels [Wheat Flour, Salt, Soybean Oil and Malt], Sea Salt.
Dark chocolate toasted coconut with almond
Dark Chocolate [Fair Trade CertifiedTM Chocolate Liquor, Fair Trade CertifiedTM Sugar, Fair Trade CertifiedTM Cocoa Butter, Soy Lecithin (an Emulsifier), Vanilla], Sweetened Toasted Coconut (Coconut, Cane Sugar, Rice Syrup, Sea Salt), Dry Roasted Almonds, Sea Salt.
Belgian Boys Choco Stroopwafel Authentic Dutch Chocolate Caramel Wafle Flavor
Wheat Flour, Glucose-Fructose Syrup, Cocoa Butter, Whole Milk Powder
Belgian Boys Stroopwafel Authentic Dutch Caramel Wafle Flavor
Wheat Flour, Glucose-Fructose Syrup, Caramel, Whole Milk Powder
Belgian Boys Mini Cookie Stash Cookie Butter Flavor Cookies
wheat flour, sugar, vegetable oils, candy sugar syrup, concentrated butter, baking soda, salt, cinnamon
Golden Oat Breakfast Biscuit
Whole Grain Blend (Rolled Oats, Rye Flakes), Enriched Flour [Wheat Flour, Niacin, Reduced Iron, Thiamin Mononitrate (Vitamin B1), Riboflavin (Vitamin B2), Folic Acid], High Oleic Canola Oil, Sugar, Whole Grain Wheat Flour, Malt Syrup (from Corn and Barley), Invert Sugar, Baking Soda, Salt, soy Lecithin, Disodium Pyrophosphate, DATEM, Ferric Orthophosphate (Iron), Niacinamide, Pyridoxine Hydrochloride (Vitamin B6), Riboflavin (Vitamin B2), Thiamin Mononitrate (Vitamin B1).
Blueburry Breakfast Biscuit
Whole Grain Blend (Rolled Oats, Rye Flakes), Enriched Flour (Wheat Flour, Niacin, Reduced Iron, Thiamin Mononitrate (Vitamin B1), Riboflavin (Vitamin B2), Folic Acid), Canola Oil, Sugar, Whole Grain Wheat Flour, Evaporated Cane Sugar, Dried Blueberries, Malt Syrup (from Corn and Barley), Invert Sugar, Baking Soda, Salt, Soy Lecithin, Disodium Pyrophosphate, Natural Flavor, DATEM, Blueberry Juice Concentrate, Ferric Orthophosphate (Iron), Niacinamide, Pyridoxine Hydrochloride (Vitamin B6), Riboflavin (Vitamin B2), Thiamin Mononitrate (Vitamin B1).
Bites Chocolate
Whole Grain Wheat Flour, Enriched Flour [Wheat Flour, Niacin, Reduced Iron, Thiamin Mononitrate (Vitamin B1), Riboflavin (Vitamin B2), Folic Acid], Sugar, Canola Oil, Semisweet Chocolate (Sugar, Chocolate, Dextrose, Cocoa Butter, Soy Lecithin, Vanilla Extract), Whole Grain Rolled Oats, Whole Grain Rye Flour, Cocoa Processed with Alkali, Chocolate, Baking Soda, Disodium Pyrophosphate, Salt, Soy Lecithin, Natural Flavor, Ferric Orthophosphate (Iron), Niacinamide, Pyridoxine Hydrochloride (Vitamin B6), Riboflavin (Vitamin B2), Thiamin Mononitrate (Vitamin B1).
Belvita Protein Blueberry and Almond Soft Baked Biscuits
Protein Crisps [Soy Crisps (Soy Protein Isolate, Rice Starch), Whey Crisp (From Milk) (Whey Protein Isolate, Whey Protein Concentrate, Tapioca Starch)], Sugar, Canola Oil, Whole Grain Wheat Flour, Hydrolyzed Wheat Gluten, Invert Sugar, Water, Soy Protein Isolate, Glycerin, Whole Grain Blend (Cracked Buckwheat, Rolled Oats, Rye Flakes), Defatted Wheat Germ, Polydextrose, Dried Blueberries, Chopped Almonds, Dried Eggs, Soy Lecithin, Baking Soda, Salt, Glyceryl-Lacto Esters Of Fatty Acids, Acetylated Mono And Diglycerides, Glycerol Esters Of Fatty Acids, Mono- And Diglycerides, Natural Flavor, Ferric Orthophosphate (Iron), Blueberry Juice Concentrate, Niacinamide, Pyridoxine Hydrochloride (Vitamin B6), Riboflavin (Vitamin B2), Thiamin Mononitrate (Vitamin B1). Peanut.
Protein Oats, Honey & Chocolate Soft Baked Biscuits
Protein Crisps [Soy Crisps (Soy Protein Isolate, Rice Starch), Whey Crisp (From Milk) (Whey Protein Isolate, Whey Protein Concentrate, Tapioca Starch)], Sugar, Canola Oil, Whole Grain Wheat Flour, Hydrolyzed Wheat Gluten, Water, Invert Sugar, Soy Protein Isolate, Semi-Sweet Chocolate (Sugar, Chocolate, Dextrose, Cocoa Butter, Milk, Soy Lecithin), Glycerin, Whole Grain Blend (Cracked Buckwheat, Rolled Oats, Rye Flakes), Defatted Wheat Germ, Polydextrose, Dried Coconut, Dried Eggs, Honey, Soy Lecithin, Baking Soda, Salt, Glyceryl-Lacto Esters Of Fatty Acids, Acetylated Mono And Diglycerides, Glycerol Esters Of Fatty Acids, Mono- And Diglycerides, Natural Flavor, Ferric Orthophosphate (Iron), Niacinamide, Molasses, Pyridoxine Hydrochloride (Vitamin B6), Riboflavin (Vitamin B2), Thiamin Mononitrate (Vitamin B1). Peanut, Tree Nuts.
Strawberry Yogurt Creme Breakfast Biscuit Sandwiches
Whole Grain Wheat Flour, Sugar, Enriched Flour [Wheat Flour, Niacin, Reduced Iron, Thiamin Mononitrate (Vitamin B1), Riboflavin (Vitamin B2), Folic Acid], Canola Oil, Whole Grain Blend (Rolled Oats, Rye Flakes), Palm Oil, Nonfat Yogurt Powder- Heat-Treated After Culturing (Nonfat Milk, Yogurt Cultures), Wheat Starch, Polydextrose, Malt Syrup (From Corn And Barley), Invert Sugar, Oligofructose, Soy Lecithin, Baking Soda, Cornstarch, Strawberry Powder, Salt, Disodium Pyrophosphate, Datem, Natural Flavor, Ferric Orthophosphate (Iron), Niacinamide, Pyridoxine Hydrochloride (Vitamin B6), Riboflavin (Vitamin B2), Thiamin Mononitrate (Vitamin B1).|Whole Grain Wheat Flour, Sugar, Enriched Flour [Wheat Flour, Niacin, Reduced Iron, Thiamin Mononitrate (Vitamin B1), Riboflavin (Vitamin B2), Folic Acid], Canola Oil, Whole Grain Blend (Rolled Oats, Rye Flakes), Palm Oil, Nonfat Yogurt Powder- Heat-Treated After Culturing (Nonfat Milk, Yogurt Cultures), Wheat Starch, Polydextrose, Malt Syrup (From Corn And Barley), Invert Sugar, Oligofructose, Soy Lecithin, Strawberry Powder, Baking Soda, Cornstarch, Salt, Disodium Pyrophosphate, Datem, Natural Flavor, Ferric Orthophosphate (Iron), Niacinamide, Pyridoxine Hydrochloride (Vitamin B6), Riboflavin (Vitamin B2), Thiamin Mononitrate (Vitamin B1).
BIENA CHIC PEA SEA SALT
Chickpeas, Sunflower Oil, Sea Salt ROCKIN' RANCH: Chickpeas, Sunflower Oil, Ranch Seasoning (Salt, Sugar, tomato Powder, Garlic Powder, Onion Powder, Gum Arabic, Yeast Extract, Spices, Natural Flavors, Spices, Mustard, Dehydrated Parsley, Malic Acid, Lactic Acid, Citric Acid, Sunflower Oil) 
BIENA CHIC PEA HONEY ROASTED
Chickpeas, Pure Cane Sugar, Sunflower Oil, Wildflower Honey, Sea Salt, Natural Honey Flavor BARBEQUE: Chickpeas, Sunflower Oil, Barbeque Seasoning (Sea Salt, Evaporated Cane Juice, Yeast Extract, Paprika, Onion Powder, Garlic Powder, Citirc Acid, Natural Smoke Flavor, Paprika, Red Pepper
BIG AZ® COUNTRY FRIED CHICKEN SANDWICH
ULLY COOKED BREADED CHICKEN BREAST FILLET (CHOPPED - WITH RIB MEAT): Chicken Breast With Rib Meat, Water, Wheat Flour [Enriched With: Niacin, Ferrous Sulfate, Thiamine Mononitrate, Riboflavin, Folic Acid], Soy Protein Concentrate, Modified Food Starch, Salt, Sugar, Yeast, Sodium Phosphate, Rice Flour, White Corn Flour, Flavor, Buttermilk Powder (Sweet Cream, Whey Cream), Maltodextrin, Dextrose, Guar Gum. SESAME SEED BUN: Enriched Bleached Wheat Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid, Enzyme), Water, Sugar, Soybean Oil, Sesame Seeds, Contains 2% or Less Of: Yeast (Yeast, Sorbitan Monostearate, Ascorbic Acid), Salt, Calcium Propionate [Preservative], Monoglycerides with Ascorbic Acid and Citric Acid [Antioxidants], Calcium Sulfate, Enzymes, Wheat Starch, Ascorbic Acid. PASTEURIZED PROCESS AMERICAN CHEESE: Cultured Milk, Water, Cream, Sodium Citrate, Salt, Sodium Phosphate, Sorbic Acid (Preservative), Lactic Acid, Enzymes, Soy Lecithin. CONTAINS: WHEAT, SOY, MILK
BBQ BEEF SUB
FULLY COOKED CHARBROILED HOAGIE BEEF PATTY WITH BARBECUE SAUCE: Beef, Water, Barbecue Sauce (Tomato Paste, High Fructose Corn Syrup, Water, Corn Syrup, Distilled Vinegar, Molasses, Salt, Mustard Bran, Natural Hickory Smoke Flavor, Spices, Onion Powder, Garlic Powder, Sodium Benzoate, Caramel Color, Sugar, Natural Flavor), Textured Vegetable Protein (Soy Protein Concentrate, Caramel Color), Seasoning (Hydrolyzed Corn Protein, Dextrose, Salt, Onion Powder, Spices), Sodium Phosphate. SESAME SEED BUN: Enriched Bleached Wheat Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid, Enzyme), Water, Sugar, Soybean Oil, Sesame Seeds, Contains 2% or Less Of: Yeast (Yeast, Sorbitan Monostearate, Ascorbic Acid), Salt, Calcium Propionate [Preservative], Monoglycerides With Ascorbic Acid and Citric Acid [Antioxidants], Calcium Sulfate, Enzymes, Wheat Starch, Ascorbic Acid. CONTAINS: SOY, WHEAT
BUBBA TWINS CHARBROIL WITH CHEESE
SESAME SEED BUN: Enriched Bleached Wheat Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid, Enzyme), Water, Sugar, Soybean Oil, Sesame Seeds, Contains 2% or Less of: Yeast (Yeast, Sorbitan Monostearate, Ascorbic Acid), Salt, Calcium Propionate (Preservative), Monoglycerides With Ascorbic Acid and Citric Acid (Antioxidants), Calcium Sulfate, Enzymes, Wheat Starch, Ascorbic Acid. FULLY COOKED FLAMEBROILED BEEF PATTY: Beef, Water, Textured Vegetable Protein (Soy Protein Concentrate, Caramel Color, Zinc Oxide, Niacinamide, Ferrous Sulfate, Copper Gluconate, Vitamin A Palmitate, Calcium Pantothenate, Thiamine Mononitrate, Pyridoxine Hydrochloride, Riboflavin, Cyanocobalamin), Seasoning (Hydrolyzed Corn Protein, Dextrose, Salt, Onion Powder, Spices), Sodium Phosphates. PASTEURIZED PROCESS AMERICAN CHEESE: Cheddar Cheese (Pasteurized Milk, Cheese Culture, Salt, Enzymes), Milkfat, Water, Sodium Citrate, Salt, Sodium Phosphate, Sorbic Acid [A Preservative], Paprika & Annatto Color, Soy Lecithin [Non-Sticking Agent]. CONTAINS: WHEAT, SOY, MILK
Creamy vanilla reduced fat ice cream layered between two rich chocolate wafers.
Reduced Fat Ice Cream (Milk, Cream, Sugar, Corn Syrup, Skim Milk, Whey, Buttermilk, Contains less than 1% of Vanilla Extract, Mono And Diglycerides, Carob Bean Gum, Cellulose Gum, Carrageenan, Vitamin A Palmitate). Wafers (Wheat Flour, Sugar, Palm Oil, Cocoa Processed with Alkali, Dextrose, Caramel Color, Contains 2% or Less of Corn Flour, Corn Syrup, Food Starch-Modified, Natural And Artificial Flavor, Salt, Baking Soda, Soy Lecithin).
Organic Gummy Bears
ORGANIC TAPIOCA SYRUP, ORGANIC CANE SUGAR, GELATIN, ORGANIC LEMON JUICE CONCENTRATE, ORGANIC TAPIOCA STARCH, ORGANIC POTATO STARCH, AGAR, CITRIC ACID, ORGANIC SUNFLOWER OIL*, COLORS (BLACK CARROT JUICE, CARROT JUICE, TURMERIC, RED BEET EXTRACT), NATURAL FLAVORS, ORGANIC CARNAUBA WAX*.'
Organic Fruity Chews Gummy
Organic Tapioca Syrup, Organic Cane Sugar, Organic Apple Juice Concentrate, Organic Tapioca Starch, Organic Apple Puree, Gelatin, Organic Lemon Juice Concentrate, Ascorbic Acid (Vitamin C), Black Carrot Juice Concentrate (Color), Organic Sunflower Oil*, Sodium Citrate, Natural Flavors, Citric Acid, Organic Carnauba Wax*. *Adds a trivial amount of fat
Gummy Worms
Corn Syrup, Sucrose, Gelatin, Citric Acid, Apple Juice Concentrate, Sodium Citrate, Natural and Artificial Flavor, Coconut Oil, Carnauba Wax, Red #40, Yellow #5 and Blue #1.
Sour Head Gummies Assorted Flavors
ORGANIC TAPIOCA SYRUP, ORGANIC CANE SUGAR, ORGANIC POTATO STARCH, ORGANIC LEMON JUICE CONCENTRATE, CORNSTARCH, CITRIC ACID, NATURAL FLAVORS, COLORS (BLACK CARROT JUICE, CARROT JUICE, TURMERIC).'
Frozen Sundae Crunch Bars Strawberry
REDUCED FAT ICE CREAM (MILK, CORN SYRUP, SUGAR, SKIM MILK, BUTTERMILK, CREAM, WHEY, CONTAINS 2% OR LESS OF MALTODEXTRIN, MONO & DIGLYCERIDES, CAROB BEAN GUM, CELLULOSE GUM, CARRAGEENAN, VANILLA EXTRACT, ARTIFICIAL FLAVOR, ANNATTO FOR COLOR, VITAMIN A PALMITATE). FLAVORED CENTER {WATER, SUGAR, POWDER (DEXTROSE, MALIC ACID, ARTIFICIAL FLAVOR, RED 40, ADIPIC ACID), SKIM MILK, CORN SYRUP, CONTAINS 1% OR LESS OF MONO AND DIGLYCERIDES, GUAR GUM, CALCIUM SULFATE, CAROB BEAN GUM, CELLULOSE GUM, CARRAGEENAN}. COATING [CAKE CRUNCH {WHEAT FLOUR, SUGAR, VEGETABLE OIL (CANOLA OIL, HYDROGENATED COTTONSEED OIL), CONTAINS 2% OR LESS OF SALT, BAKING SODA, ARTIFICIAL FLAVORS, SOY LECITHIN, RED 3}, SOYBEAN OIL, PALM OIL].
BLUE DIAMOND ALMONDS SMOKEHOUSE
almonds, vegetable oil (canola, safflower and/or sunflower oil), salt, corn maltodextrin, natural hickory smoke flavor, yeast, hydrolyzed corn and soy protein, and natural flavors
Boulder Canyon Sea Salt Flavored Kettle Cooked Potato Chips
POTATOES, SAFFLOWER OIL, SEA SALT.
Boulder Canyon Sea Salt & Cracked Pepper Flavored Kettle Cooked Potatoes
POTATOES, SUNFLOWER AND/OR SAFFLOWER OIL, RICE FLOUR, EVAPORATED CANE SUGAR, SEA SALT, BLACK PEPPER, GARLIC POWDER, ONION POWDER, YEAST EXTRACT, SPICE EXTRACT.
Natures Addicts Fruit Sticks Apple Mng Pass
Concentrated Apple Puree, Concentrated Apple Juice, Concentrated Mango Puree, Concentrated Passion Fruit
Natures Addicts Fruit Sticks Apple Raspberry
Concentrated Apple Puree, Concentrated Apple Juice, Raspberry Puree, Concentrated Elderberry Juice,
Jumbo Honey Bun
enriched flour (wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid), sugar, water, vegetable oil (soybean and/or palm), yeast, contains 2% or less of each of the following: dextrose, salt, distilled monoglycerides, cornstarch, soy flour, corn syrup, calcium carbonate, leavening (sodium acid pyrophosphate,and sodium bicarbonate), cinnamon, agar, soy lecihtin, datem, monocalcium phosphate, titanium dioxide (color), natural and artificial flavor, monoglycerides, enzymes, wheat starch, colored with turmeric and annatto, ascorbic acid, dry honey, azodicarbonamide, calcium stearate, hydroxylated soy lecithin, preserved with calcium propionate, sodium propionate, and potassium sorbate.
Dark Chocolate Pomegranate
Semi-Sweet Chocolate (Sugar; Chocolate; Cocoa Butter; Milk; Cocoa processed with Alkali; Milk Fat; Soy Lecithin; Salt; Natural Vanilla Flavor); Sugar; Corn Syrup; Fruit Juice Concentrate (Apple Juice Concentrate; Pomegranate Juice Concentrate; Cranberry Juice Concentrate; Lemon Juice Concentrate); Maltodextrin; Deionized Apple Juice Concentrate; Natural Flavor; Pectin; Malic Acid; Modified Food Starch; Canola Oil; Sodium Bicarbonate; Sodium Citrate; Ascorbic Acid; Resinous Glaze Citric Acid.
Dark Chocolate Acai with Blueberry
DARK CHOCOLATE [SUGAR; CHOCOLATE; COCOA BUTTER; MILK FAT; COCOA PROCESSED WITH ALKALI; LECITHIN (SOY); MILK; SALT; NATURAL VANILLA F LAVOR]; SUGAR; CORN SYRUP; FRUIT JUICE CONCENTRATE [POMEGRANATE JUICE CONCENTRATE; APPLE JUICE CONCENTRATE; RASPBERRY JUICE CONCENTRATE; BLUEBERRY JUICE CONCENTRATE; CRANBERRY JUICE CONCENTRATE; LEMON JUICE CONCENTRATE]; MALTODEXTRIN; DEIONIZED APPLE JUICE CONCENT RATE; NATURAL FLAVOR; PECTIN; MALIC ACID; TAPIOCA DEXTRIN; CANOLA OIL; ACAI PUREE CONCENTRATE; SODIUM BICARBONATE; ASCORBIC ACID; SODIUM CITRATE; CITRIC ACID; RESINOUS GLAZE
Beef and bean burritto
Water, Bleached Enriched Flour (wheat flour, niacin, reduced iron, thiamine mononitrate, rbioflavin, folic acid), Beef, Chili Sauce (tomatoes, corn syrup, vinegar, salt, dehydrated onion, natural flavorings, garlic powder, Tomato paste,  Onions, Jalapeño Peppers (jalapeño peppers, vinegar, salt), Crushed Red Pepper, Flavorings, Paprika, Flavor Enhancer (hydrolyzed soy protein, salt, corn syrup solids, modified food starch, spice, caramel color, autolyzed yeast, onion, garlic, natural smoke flavor), Textured Vegetable Protein (soy flour, caramel color, zinc oxide, niacinamide, ferrous sulfate, copper gluconate, vitamin A palmitate, calcium pantothenate, thiamine mononitrate, pyridoxine, hydrochloride, riboflavin, cyanocobalamin), . Corn Flour, Modified Food Starch,  Leavening (sodium bicarbonate, sodium aluminum sulfate, corn starch, calcium sulfate, monocalcium phosphate), Dough Conditioner (whey, L-cysteine hydrochloride), Guar Gum, Sodium Stearoyl Lactylate, Soybean Oil,. Salt, Caramel Color
Butlers White Chocolate Flavor Bar with Mixed Berries
Sugar, cocoa butter, whole milk powder, mixed berry pieces 4% (maize starch, strawberry, sucrose, raspberry, blackberry, blueberry, lingonberry), freeze dried raspberries (0.5%), emulsifier: soya lecithin, natural flavourings. (White chocolate contains: 26% cocoa solids minimum, 20% milk solids minimum). Please store in a cool, dry and odourless place. This product may contain nut traces.
Butlers Milk Chocolate Flavor Bar with Honeycomb Crisp
Sugar, whole milk powder, cocoa butter, honeycomb 10% (sugar, glucose syrup, brown sugar, raising agent: sodium bicarbonate), cocoa mass, crisp rice (5%) (rice flour), emulsifier: soya lecithin, natural flavouring. (Milk chocolate contains: 32% cocoa solids minimum, 20% milk solids minimum). Please store in a cool, dry and odourless place. This product may contain nut traces.
Butlers Dark Choclate Flavor Bar with Mint Crunch
Cocoa mass, sugar, mint toffee crisp 20% (sugar, glucose syrup, palm oil, butter (milk), natural flavouring, emulsifier: soya lecithin), cocoa butter, emulsifier: soya lecithin, natural flavourings. (Dark chocolate contains: 58% cocoa solids minimum). Please store in a cool, dry and odourless place. This product may contain nut traces.
Single Candy Bars
